,regression,instance-based algorithms,regularization algorithms,decision tree algorithms,bayesian algorithms,clustering algorithms,ann,deep learning algorithms,dimensionality reduction algorithms,ensemble algorithms
regression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instance-based algorithms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regularization algorithms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decision tree algorithms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayesian algorithms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustering algorithms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deep learning algorithms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dimensionality reduction algorithms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble algorithms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
