regression,instance-based algorithms,regularization algorithms,decision tree algorithms,bayesian algorithms,clustering algorithms,ann,deep learning algorithms,dimensionality reduction algorithms,ensemble algorithms
ordinary least squares regression,k-nearest neighbor,ridge regression,classification and regression tree,naive bayes,k-means,perceptron,deep boltzmann machine,principal component analysis,boosting
olsr,knn,least absolute shrinkage and selection operator,cart,gaussian naive bayes,k-medians,back-propagation,dbm,pca,bootstrapped aggregation
linear regression,learning vector quantization,lasso,iterative dichotomiser 3,multinomial naive bayes,expectation maximisation,hopfield network,deep belief networks,principal component regression,bagging
logistic regression,lvq,elastic net,id3,averaged one-dependence estimators,em,radial basis function network,dbn,pcr,adaboost
stepwise regression,self-organizing map,least-angle regression,c4.5,aode,hierarchical clustering ,rbfn ,convolutional neural network,partial least squares regression,stacked generalization
multivariate adaptive regression splines,som,lars,c5.0,bayesian belief network,,,cnn,plsr,blending
mars,locally weighted learning,,chi-squared automatic interaction detection,bbn,,,stacked auto-encoders ,sammon mapping,gradient boosting machines
locally estimated scatterplot smoothing,lwl ,,chaid,bayesian network,,,,multidimensional scaling,gbm
loess,,,decision stump,bn ,,,,mds,gradient boosted regression trees
,,,m5,,,,,projection pursuit,gbrt
,,,conditional decision trees ,,,,,linear discriminant analysis,random forest
,,,,,,,,lda,
,,,,,,,,mixture discriminant analysis,
,,,,,,,,mda,
,,,,,,,,quadratic discriminant analysis,
,,,,,,,,qda,
,,,,,,,,flexible discriminant analysis,
,,,,,,,,fda ,
